Acer;P166HQL;15.6;1366;768;798000;1
Acer;K202HQL;19.5;1600;900;992000;1.707315596
Acer;G227HQL;21.5;1920;1080;1720000;2.299910807
Acer;K222HQL;21.5;1920;1080;1493000;2.258725442
Acer;T232HL;23;1920;1080;5495000;3.134821602
Acer;KA240HQ;24;1920;1080;1925000;2.637104638
Acer;K242HL;24;1920;1080;1925000;2.637104638
Acer;K272HL;27;1920;1080;3218000;3.321697925
Acer;Predator X34;34;3440;1440;18600000;8.150780134
AOC;E1670SWU;15.6;1366;768;800000;1.000362867
AOC;E970SWN;18.5;1366;768;883000;1.465421832
AOC;E2070SWNE;19.5;1366;768;960000;1.629392198
AOC;I2080SW;19.5;1440;900;1025000;1.684782213
AOC;E2250SW;21.5;1920;1080;1310000;2.225523144
AOC;E2270SWN;21.5;1920;1080;1288000;2.221531611
AOC;I2276VWM;21.5;1920;1080;1550000;2.269067142
AOC;E2470SWH;24;1920;1080;2100000;2.66885547
AOC;G2460PF;24;1920;1080;4100000;3.031722116
AOC;G2460VQ6;24;1920;1080;2450000;2.732357133
AOC;I2476VWM;24;1920;1080;1825000;2.618961306
AOC;Q2963PM;29;2560;1080;4045000;3.957459359
Asus;MB169B+;15.6;1920;1080;3325000;1.691111291
Asus;VT168H;15.6;1366;768;2285000;1.269791352
Asus;VH168D;16;1366;768;840000;1.0076202
Asus;VS197DE;18.5;1366;768;980000;1.483020865
Asus;VT207N;20;1600;900;3075000;2.085241209
Asus;VS228DE;21.5;1920;1080;1520000;2.263624142
Asus;VX229H;21.5;1920;1080;1930000;2.338011805
Asus;VP228H;22;1920;1080;1738000;2.303176607
Asus;VZ229H;22;1920;1080;2323000;2.409315101
Asus;MX239H;23;1920;1080;2890000;2.662187795
Asus;PA238Q;23;1920;1080;4085000;2.879000616
Asus;VC239H;23;1920;1080;2440000;2.580542799
Asus;VS239HV;23;1920;1080;2310000;2.556956467
Asus;VX238H;23;1920;1080;2550000;2.600500465
Asus;VX238HW;23;1920;1080;2570000;2.604129132
